Network,Station,Latitude,Longitude,Elevation
9D,1221,34.233353,-106.76078,1595.6
9D,1222,34.220589,-106.710167,1682.3
9D,1223,34.240108,-106.751274,1618.7
9D,1224,34.242702,-106.748642,1621.0
9D,1225,34.252956,-106.67308,1687.5
9D,1226,34.251369,-106.741089,1605.8
9D,1227,34.221165,-106.704323,1701.2
9D,1228,34.26004,-106.735184,1598.5
9D,1229,34.265072,-106.731934,1597.3
9D,1230,34.26786,-106.734085,1593.3
9D,1231,34.404102,-106.675201,1567.1
9D,1233,34.402958,-106.67054,1569.6
9D,1234,34.402306,-106.667786,1567.9
9D,1235,34.40176,-106.665657,1566.8
9D,1236,34.40065,-106.663307,1569.2
9D,1237,34.398884,-106.661583,1573.3
9D,1238,34.396358,-106.659515,1577.0
9D,1239,34.394253,-106.657799,1580.6
9D,1240,34.392036,-106.656052,1583.4
9D,1241,34.39024,-106.654617,1586.6
9D,1242,34.388054,-106.652847,1591.3
9D,1243,34.385887,-106.651123,1595.7
9D,1244,34.3839,-106.649376,1598.0
9D,1245,34.381649,-106.647728,1602.4
9D,1246,34.379093,-106.645721,1607.8
9D,1247,34.376667,-106.643806,1614.6
9D,1248,34.373653,-106.641434,1620.7
9D,1249,34.371288,-106.639572,1624.9
9D,1250,34.368763,-106.63765,1631.5
9D,1251,34.366467,-106.635841,1636.8
9D,1252,34.364063,-106.633965,1642.4
9D,1253,34.361507,-106.631943,1647.5
9D,1254,34.358734,-106.629791,1655.0
9D,1255,34.294788,-106.737831,1566.7
9D,1256,34.355392,-106.624031,1673.2
9D,1257,34.358738,-106.623451,1671.6
9D,1258,34.361561,-106.623283,1668.1
9D,1259,34.363834,-106.621674,1668.7
9D,1260,34.365765,-106.61956,1670.8
9D,1261,34.368198,-106.61792,1668.3
9D,1262,34.353157,-106.625259,1668.7
9D,1263,34.356159,-106.627769,1662.0
9D,1264,34.350067,-106.62262,1675.7
9D,1265,34.348145,-106.621239,1676.3
9D,1266,34.345539,-106.620392,1676.3
9D,1267,34.343849,-106.621773,1675.4
9D,1268,34.342117,-106.623276,1675.4
9D,1269,34.370796,-106.616089,1664.5
9D,1270,34.373665,-106.614098,1661.7
9D,1271,34.376503,-106.612228,1660.0
9D,1272,34.379742,-106.610374,1655.9
9D,1273,34.383049,-106.609161,1649.3
9D,1274,34.386181,-106.608604,1639.6
9D,1275,34.389462,-106.607742,1633.1
9D,1276,34.393002,-106.606384,1626.8
9D,1277,34.396412,-106.605537,1622.1
9D,1278,34.399818,-106.605522,1618.8
9D,1279,34.402607,-106.605324,1614.5
9D,1280,34.405491,-106.605186,1612.1
9D,1281,34.407406,-106.606194,1607.8
9D,1282,34.407413,-106.608368,1608.8
9D,1283,34.407398,-106.610809,1605.1
9D,1284,34.407398,-106.613274,1603.2
9D,1285,34.407398,-106.616302,1600.3
9D,1286,34.407394,-106.619225,1597.6
9D,1287,34.407391,-106.622231,1596.3
9D,1288,34.407387,-106.625908,1593.6
9D,1289,34.407413,-106.629883,1591.0
9D,1290,34.407402,-106.633804,1586.6
9D,1291,34.407402,-106.638435,1581.7
9D,1292,34.407398,-106.643349,1578.3
9D,1293,34.407364,-106.648567,1573.7
9D,1294,34.407372,-106.653847,1570.9
9D,1295,34.407372,-106.65892,1569.3
9D,1296,34.407352,-106.663307,1567.3
9D,1297,34.407368,-106.66629,1565.9
9D,1298,34.407372,-106.669701,1563.3
9D,1299,34.407372,-106.671906,1564.7
9D,1300,34.407372,-106.67392,1569.3
9D,1301,34.339958,-106.625099,1676.3
9D,1302,34.33786,-106.626907,1677.0
9D,1303,34.335983,-106.628593,1676.9
9D,1304,34.291782,-106.728996,1583.7
9D,1305,34.29351,-106.735046,1573.5
9D,1306,34.329884,-106.634056,1675.0
9D,1307,34.327911,-106.635818,1674.7
9D,1308,34.325222,-106.638199,1678.3
9D,1309,34.322845,-106.640305,1682.2
9D,1310,34.320129,-106.642776,1685.9
9D,1311,34.317207,-106.645432,1689.9
9D,1312,34.314564,-106.64782,1691.3
9D,1313,34.31292,-106.649368,1691.6
9D,1314,34.311218,-106.651154,1691.8
9D,1315,34.309765,-106.65274,1691.4
9D,1316,34.305511,-106.655968,1687.8
9D,1317,34.302532,-106.657539,1688.1
9D,1318,34.39558,-107.010201,1704.9
9D,1319,34.40976,-106.980698,1668.2
9D,1320,34.409962,-106.984245,1686.3
9D,1321,34.405338,-106.994087,1676.7
9D,1322,34.292564,-106.732056,1576.1
9D,1323,34.300014,-106.658875,1686.5
9D,1324,34.296993,-106.6605,1685.9
9D,1325,34.294888,-106.661629,1683.9
9D,1326,34.296486,-106.747467,1554.1
9D,1327,34.29184,-106.663261,1685.4
9D,1328,34.220364,-106.697609,1736.4
9D,1329,34.288219,-106.665161,1685.9
9D,1330,34.285976,-106.666344,1688.3
9D,1331,34.295719,-106.753494,1544.4
9D,1332,34.282982,-106.667992,1693.2
9D,1333,34.249359,-106.674309,1692.3
9D,1334,34.280003,-106.669884,1696.7
9D,1335,34.27898,-106.671455,1698.6
9D,1336,34.302982,-106.773994,1534.5
9D,1337,34.276016,-106.673714,1697.8
9D,1338,34.230854,-106.678108,1702.2
9D,1339,34.273712,-106.675949,1699.8
9D,1340,34.272682,-106.67746,1697.2
9D,1342,34.277859,-106.677216,1691.1
9D,1343,34.301163,-106.769936,1533.1
9D,1344,34.282188,-106.679176,1688.2
9D,1345,34.28413,-106.680107,1683.1
9D,1346,34.28606,-106.681068,1680.7
9D,1347,34.288025,-106.682091,1677.6
9D,1348,34.296326,-106.762054,1538.3
9D,1349,34.29147,-106.683891,1672.2
9D,1350,34.29414,-106.685074,1667.8
9D,1351,34.296413,-106.738831,1565.3
9D,1352,34.297848,-106.686501,1665.5
9D,1353,34.301956,-106.688087,1660.2
9D,1354,34.30492,-106.690208,1657.2
9D,1355,34.295662,-106.757912,1542.0
9D,1356,34.307499,-106.692009,1653.4
9D,1357,34.310051,-106.693871,1648.6
9D,1358,34.312092,-106.695366,1648.7
9D,1359,34.3148,-106.697311,1650.6
9D,1360,34.31768,-106.699463,1649.8
